search_term,month,search_index
climbing course,2021-12,25
climbing course,2022-01,32
climbing course,2022-02,32
climbing course,2022-03,33
climbing course,2022-04,34
climbing course,2022-05,35
climbing course,2022-06,33
climbing course,2022-07,35
climbing course,2022-08,31
climbing course,2022-09,27
climbing course,2022-10,29
climbing course,2022-11,29
climbing course,2022-12,26
climbing course,2023-01,29
climbing course,2023-02,30
climbing course,2023-03,31
climbing course,2023-04,29
climbing course,2023-05,31
climbing course,2023-06,33
climbing course,2023-07,31
climbing course,2023-08,32
climbing course,2023-09,30
climbing course,2023-10,28
climbing course,2023-11,29
climbing course,2023-12,28
climbing course,2024-01,32
climbing course,2024-02,36
climbing course,2024-03,32
climbing course,2024-04,35
climbing course,2024-05,33
climbing course,2024-06,30
climbing course,2024-07,35
climbing course,2024-08,100
climbing course,2024-09,34
climbing course,2024-10,31
climbing course,2024-11,31
climbing course,2024-12,34
learn climbing,2015-01,28
learn climbing,2015-02,25
learn climbing,2015-03,19
learn climbing,2015-04,26
learn climbing,2015-05,24
learn climbing,2015-06,25
learn climbing,2015-07,27
learn climbing,2015-08,26
learn climbing,2015-09,24
learn climbing,2015-10,24
learn climbing,2015-11,23
learn climbing,2015-12,17
learn climbing,2016-01,24
learn climbing,2016-02,22
learn climbing,2016-03,26
learn climbing,2016-04,22
learn climbing,2016-05,26
learn climbing,2016-06,24
learn climbing,2016-07,22
learn climbing,2016-08,22
learn climbing,2016-09,24
learn climbing,2016-10,25
learn climbing,2016-11,23
learn climbing,2016-12,20
learn climbing,2017-01,24
learn climbing,2017-02,22
learn climbing,2017-03,26
learn climbing,2017-04,24
learn climbing,2017-05,22
learn climbing,2017-06,26
learn climbing,2017-07,17
learn climbing,2017-08,26
learn climbing,2017-09,27
learn climbing,2017-10,20
learn climbing,2017-11,22
learn climbing,2017-12,22
learn climbing,2018-01,24
learn climbing,2018-02,22
learn climbing,2018-03,27
learn climbing,2018-04,27
learn climbing,2018-05,19
learn climbing,2018-06,20
learn climbing,2018-07,17
learn climbing,2018-08,26
learn climbing,2018-09,23
learn climbing,2018-10,20
learn climbing,2018-11,26
learn climbing,2018-12,22
learn climbing,2019-01,26
learn climbing,2019-02,29
learn climbing,2019-03,30
learn climbing,2019-04,24
learn climbing,2019-05,22
learn climbing,2019-06,22
learn climbing,2019-07,25
