sport,article,date,pageviews
Slacklining,Slacklining,2023-07-01,10084
Slacklining,Slacklining,2023-08-01,9537
Slacklining,Slacklining,2023-09-01,9390
Slacklining,Slacklining,2023-10-01,8454
Slacklining,Slacklining,2023-11-01,7858
Slacklining,Slacklining,2023-12-01,7290
Slacklining,Slacklining,2024-01-01,8366
Slacklining,Slacklining,2024-02-01,6550
Slacklining,Slacklining,2024-03-01,7177
Slacklining,Slacklining,2024-04-01,7442
Slacklining,Slacklining,2024-05-01,6711
Slacklining,Slacklining,2024-06-01,5525
Slacklining,Slacklining,2024-07-01,7688
Slacklining,Slacklining,2024-08-01,6653
Slacklining,Slacklining,2024-09-01,6099
Slacklining,Slacklining,2024-10-01,5601
Slacklining,Slacklining,2024-11-01,5194
Slacklining,Slacklining,2024-12-01,4992
Snowboarding,Snowboarding,2015-07-01,15843
Snowboarding,Snowboarding,2015-08-01,15584
Snowboarding,Snowboarding,2015-09-01,18119
Snowboarding,Snowboarding,2015-10-01,21360
Snowboarding,Snowboarding,2015-11-01,20934
Snowboarding,Snowboarding,2015-12-01,22049
Snowboarding,Snowboarding,2016-01-01,30712
Snowboarding,Snowboarding,2016-02-01,28352
Snowboarding,Snowboarding,2016-03-01,22639
Snowboarding,Snowboarding,2016-04-01,18414
Snowboarding,Snowboarding,2016-05-01,16912
Snowboarding,Snowboarding,2016-06-01,13303
Snowboarding,Snowboarding,2016-07-01,13384
Snowboarding,Snowboarding,2016-08-01,21432
Snowboarding,Snowboarding,2016-09-01,21064
Snowboarding,Snowboarding,2016-10-01,23094
Snowboarding,Snowboarding,2016-11-01,23722
Snowboarding,Snowboarding,2016-12-01,25140
Snowboarding,Snowboarding,2017-01-01,32218
Snowboarding,Snowboarding,2017-02-01,27124
Snowboarding,Snowboarding,2017-03-01,25179
Snowboarding,Snowboarding,2017-04-01,16802
Snowboarding,Snowboarding,2017-05-01,16780
Snowboarding,Snowboarding,2017-06-01,13030
Snowboarding,Snowboarding,2017-07-01,11810
Snowboarding,Snowboarding,2017-08-01,13175
Snowboarding,Snowboarding,2017-09-01,15082
Snowboarding,Snowboarding,2017-10-01,18989
Snowboarding,Snowboarding,2017-11-01,21764
Snowboarding,Snowboarding,2017-12-01,25416
Snowboarding,Snowboarding,2018-01-01,41720
Snowboarding,Snowboarding,2018-02-01,203143
Snowboarding,Snowboarding,2018-03-01,39682
Snowboarding,Snowboarding,2018-04-01,16821
Snowboarding,Snowboarding,2018-05-01,14590
Snowboarding,Snowboarding,2018-06-01,11462
Snowboarding,Snowboarding,2018-07-01,12997
Snowboarding,Snowboarding,2018-08-01,13271
Snowboarding,Snowboarding,2018-09-01,15356
Snowboarding,Snowboarding,2018-10-01,16213
Snowboarding,Snowboarding,2018-11-01,17896
Snowboarding,Snowboarding,2018-12-01,22431
Snowboarding,Snowboarding,2019-01-01,26373
Snowboarding,Snowboarding,2019-02-01,21904
Snowboarding,Snowboarding,2019-03-01,17680
Snowboarding,Snowboarding,2019-04-01,13619
Snowboarding,Snowboarding,2019-05-01,11666
Snowboarding,Snowboarding,2019-06-01,9612
Snowboarding,Snowboarding,2019-07-01,10196
Snowboarding,Snowboarding,2019-08-01,11338
Snowboarding,Snowboarding,2019-09-01,12111
Snowboarding,Snowboarding,2019-10-01,15349
Snowboarding,Snowboarding,2019-11-01,21301
Snowboarding,Snowboarding,2019-12-01,19102
Snowboarding,Snowboarding,2020-01-01,23443
Snowboarding,Snowboarding,2020-02-01,18655
Snowboarding,Snowboarding,2020-03-01,14399
Snowboarding,Snowboarding,2020-04-01,13735
Snowboarding,Snowboarding,2020-05-01,12052
Snowboarding,Snowboarding,2020-06-01,9495
Snowboarding,Snowboarding,2020-07-01,9637
Snowboarding,Snowboarding,2020-08-01,9632
Snowboarding,Snowboarding,2020-09-01,11643
Snowboarding,Snowboarding,2020-10-01,13688
Snowboarding,Snowboarding,2020-11-01,14712
Snowboarding,Snowboarding,2020-12-01,17702
Snowboarding,Snowboarding,2021-01-01,22680
Snowboarding,Snowboarding,2021-02-01,20154
Snowboarding,Snowboarding,2021-03-01,16974
Snowboarding,Snowboarding,2021-04-01,11960
Snowboarding,Snowboarding,2021-05-01,10075
Snowboarding,Snowboarding,2021-06-01,9029
Snowboarding,Snowboarding,2021-07-01,12164
Snowboarding,Snowboarding,2021-08-01,13792
Snowboarding,Snowboarding,2021-09-01,10482
Snowboarding,Snowboarding,2021-10-01,12752
Snowboarding,Snowboarding,2021-11-01,13585
Snowboarding,Snowboarding,2021-12-01,16864
Snowboarding,Snowboarding,2022-01-01,27439
Snowboarding,Snowboarding,2022-02-01,86694
Snowboarding,Snowboarding,2022-03-01,20808
Snowboarding,Snowboarding,2022-04-01,13073
Snowboarding,Snowboarding,2022-05-01,11415
Snowboarding,Snowboarding,2022-06-01,9817
Snowboarding,Snowboarding,2022-07-01,10017
Snowboarding,Snowboarding,2022-08-01,12290
Snowboarding,Snowboarding,2022-09-01,17515
Snowboarding,Snowboarding,2022-10-01,30958
Snowboarding,Snowboarding,2022-11-01,21297
Snowboarding,Snowboarding,2022-12-01,22777
Snowboarding,Snowboarding,2023-01-01,30416
Snowboarding,Snowboarding,2023-02-01,24569
Snowboarding,Snowboarding,2023-03-01,22198
Snowboarding,Snowboarding,2023-04-01,15526
Snowboarding,Snowboarding,2023-05-01,15769
Snowboarding,Snowboarding,2023-06-01,13930
Snowboarding,Snowboarding,2023-07-01,14378
Snowboarding,Snowboarding,2023-08-01,17104
Snowboarding,Snowboarding,2023-09-01,19132
Snowboarding,Snowboarding,2023-10-01,23588
Snowboarding,Snowboarding,2023-11-01,22610
Snowboarding,Snowboarding,2023-12-01,30218
Snowboarding,Snowboarding,2024-01-01,42044
Snowboarding,Snowboarding,2024-02-01,27471
Snowboarding,Snowboarding,2024-03-01,20618
Snowboarding,Snowboarding,2024-04-01,17121
Snowboarding,Snowboarding,2024-05-01,12356
Snowboarding,Snowboarding,2024-06-01,9325
Snowboarding,Snowboarding,2024-07-01,12376
Snowboarding,Snowboarding,2024-08-01,14901
Snowboarding,Snowboarding,2024-09-01,10432
Snowboarding,Snowboarding,2024-10-01,12363
Snowboarding,Snowboarding,2024-11-01,14409
Snowboarding,Snowboarding,2024-12-01,17870
Spearfishing,Spearfishing,2015-07-01,8182
Spearfishing,Spearfishing,2015-08-01,7368
Spearfishing,Spearfishing,2015-09-01,6894
Spearfishing,Spearfishing,2015-10-01,7381
Spearfishing,Spearfishing,2015-11-01,6529
Spearfishing,Spearfishing,2015-12-01,5992
Spearfishing,Spearfishing,2016-01-01,7188
Spearfishing,Spearfishing,2016-02-01,7408
Spearfishing,Spearfishing,2016-03-01,6689
Spearfishing,Spearfishing,2016-04-01,7198
Spearfishing,Spearfishing,2016-05-01,6955
Spearfishing,Spearfishing,2016-06-01,6870
Spearfishing,Spearfishing,2016-07-01,6335
Spearfishing,Spearfishing,2016-08-01,6404
Spearfishing,Spearfishing,2016-09-01,6555
Spearfishing,Spearfishing,2016-10-01,6553
Spearfishing,Spearfishing,2016-11-01,6185
Spearfishing,Spearfishing,2016-12-01,5821
Spearfishing,Spearfishing,2017-01-01,7179
Spearfishing,Spearfishing,2017-02-01,6207
Spearfishing,Spearfishing,2017-03-01,7647
Spearfishing,Spearfishing,2017-04-01,6143
